"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Fri Oct 18 09:12:01 GMT 2024","Fri Oct 18 09:12:03 GMT 2024","1429","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"passed","Fri Oct 18 09:11:53 GMT 2024","Fri Oct 18 09:12:01 GMT 2024","8046","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
