"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 11:08:26 GMT 2024","Thu Oct 24 11:08:35 GMT 2024","9456","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Thu Oct 24 11:08:35 GMT 2024","Thu Oct 24 11:08:37 GMT 2024","1409","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
