"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 04 11:08:23 GMT 2025","Sat Jan 04 11:08:26 GMT 2025","2597","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"failed","Sat Jan 04 11:08:21 GMT 2025","Sat Jan 04 11:08:23 GMT 2025","1734","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
