"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 09:13:49 GMT 2024","Thu Oct 24 09:13:51 GMT 2024","1604","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Thu Oct 24 09:13:40 GMT 2024","Thu Oct 24 09:13:49 GMT 2024","9470","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
