"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Fri Aug 09 09:11:11 GMT 2024","Fri Aug 09 09:11:18 GMT 2024","7027","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Fri Aug 09 09:11:18 GMT 2024","Fri Aug 09 09:11:19 GMT 2024","1449","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
