"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 07 11:08:45 GMT 2025","Tue Jan 07 11:08:47 GMT 2025","1605","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
"failed","Tue Jan 07 11:08:43 GMT 2025","Tue Jan 07 11:08:45 GMT 2025","1628","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
