"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 27 11:08:38 GMT 2024","Fri Dec 27 11:08:41 GMT 2024","2539","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"failed","Fri Dec 27 11:08:36 GMT 2024","Fri Dec 27 11:08:38 GMT 2024","1725","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
