"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Tue Dec 24 09:11:00 GMT 2024","Tue Dec 24 09:11:08 GMT 2024","8250","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Tue Dec 24 09:11:08 GMT 2024","Tue Dec 24 09:11:10 GMT 2024","1424","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
