"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
"failed","Fri Jan 10 11:08:53 GMT 2025","Fri Jan 10 11:08:56 GMT 2025","2470","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Fri Jan 10 11:08:56 GMT 2025","Fri Jan 10 11:08:58 GMT 2025","1590","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
