"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 28 11:07:37 GMT 2024","Sat Dec 28 11:07:39 GMT 2024","1545","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"failed","Sat Dec 28 11:07:35 GMT 2024","Sat Dec 28 11:07:37 GMT 2024","1480","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
