"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 25 11:09:04 GMT 2024","Wed Dec 25 11:09:07 GMT 2024","3426","","FirstTest.spec.js","","","","First Playwright test with fixture-browser",""
"failed","Wed Dec 25 11:09:02 GMT 2024","Wed Dec 25 11:09:03 GMT 2024","1725","","APiIntercept.spec.js","","","","API session handling and searching orderID for order created with API",""
"passed","Sat Jan 06 07:29:57 GMT 2024","Sat Jan 06 07:30:01 GMT 2024","4501","","APISessionHandlingRefactored.spec.js","","","","API session handling and searching orderID for order created with API",""
